2017-07-11 14:28:51,347 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1e88b3c: startup date [Tue Jul 11 14:28:51 JST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-07-11 14:28:53,455 | INFO  | PListStore:[C:\kanayama\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-07-11 14:28:53,505 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-07-11 14:28:53,910 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-58245-1499750933747-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2017-07-11 14:28:53,950 | INFO  | Listening for connections at: tcp://TAKIZAWA-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-11 14:28:53,950 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 14:28:53,960 | INFO  | Listening for connections at: amqp://TAKIZAWA-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-11 14:28:53,960 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 14:28:53,970 | INFO  | Listening for connections at: stomp://TAKIZAWA-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-11 14:28:53,970 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 14:28:53,980 | INFO  | Listening for connections at: mqtt://TAKIZAWA-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2017-07-11 14:28:53,980 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 14:28:54,264 | INFO  | Listening for connections at ws://TAKIZAWA-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2017-07-11 14:28:54,264 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2017-07-11 14:28:54,294 | INFO  | Apache ActiveMQ 5.9.1 (localhost, ID:TAKIZAWA-PC-58245-1499750933747-0:1) started | org.apache.activemq.broker.BrokerService | main
2017-07-11 14:28:54,294 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2017-07-11 14:28:55,304 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2017-07-11 14:28:55,616 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2017-07-11 14:28:56,187 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2017-07-11 14:51:14,383 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@77caeb3e: startup date [Tue Jul 11 14:51:14 JST 2017]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2017-07-11 14:51:16,013 | INFO  | PListStore:[C:\kanayama\apache-activemq-5.9.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2017-07-11 14:51:16,043 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2017-07-11 14:51:16,053 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:51:26,053 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:51:36,053 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:51:46,053 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:51:56,053 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:52:06,053 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:52:16,053 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:52:26,053 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:52:36,053 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:52:46,055 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:52:56,055 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:53:06,055 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:53:16,055 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2017-07-11 14:53:26,055 | INFO  | Database C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File 'C:\kanayama\apache-activemq-5.9.1\bin\..\data\kahadb\lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
